All-Genes	Product	Pathways of gene	Accession-1
GJAO-3966	hypothetical protein		E2348C_3902
GJAO-3967	hypothetical protein		E2348C_3903
GJAO-3968	hypothetical protein		E2348C_3904
GJAO-3969	hypothetical protein		E2348C_3905
GJAO-3970	hypothetical protein		E2348C_3906
GJAO-3971	hypothetical protein		E2348C_3907
GJAO-3972	DNA primase		E2348C_3908
GJAO-3984	hypothetical protein		E2348C_3920
GJAO-3985	hypothetical protein		E2348C_3921
GJAO-3986	hypothetical protein		E2348C_3922
GJAO-3987	"fructose-bisphosphate aldolase, class-II family"	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_3923
GJAO-3988	"fructose-specific PTS enzymes, IIC component"		E2348C_3924
GJAO-3989	"fructose-specific PTS enzymes, IIB component"		E2348C_3925
GJAO-3990	"fructose-specific PTS enzymes, IIA component"		E2348C_3926
GJAO-3991	transcriptional antiterminator		E2348C_3927
GJAO-3996	component of T3SS		E2348C_3931
GJAO-4011	hypothetical protein		E2348C_3946
GJAO-4012	hypothetical protein		E2348C_3947
GJAO-4024	hypothetical protein		E2348C_3959
GJAO-4029	component of T3SS		E2348C_3964
GJAO-4030	component of T3SS		E2348C_3965
GJAO-4031	component of T3SS		E2348C_3966
GJAO-4032	component of T3SS		E2348C_3967
GJAO-4034	hypothetical protein		E2348C_3969
GJAO-4036	hypothetical protein		E2348C_3971
GJAO-4037	hypothetical protein		E2348C_3972
GJAO-4038	hypothetical protein		E2348C_3973
GJAO-4041	hypothetical protein		E2348C_3976
GJAO-4068	transposase of ISEc13		E2348C_4003
GJAO-4155	hypothetical protein		E2348C_4084
GJAO-4182	hypothetical protein		E2348C_4106
GJAO-4183	lipoprotein		E2348C_4107
GJAO-4190	hypothetical protein		E2348C_4114
GJAO-4193	hypothetical protein		E2348C_4117
GJAO-4194	hypothetical protein		E2348C_4118
GJAO-4200	transposase		E2348C_4124
GJAO-4207	phosphosugar isomerase		E2348C_4131
GJAO-4208	"PTS system, IIB component / IIC component"		E2348C_4132
GJAO-4209	transketolase	"superpathway of glucose and xylose degradation // ""pentose phosphate pathway"" // ""pentose phosphate pathway (non-oxidative branch)"""	E2348C_4133
GJAO-4210	RpiR family transcriptional regulator		E2348C_4134
GJAO-4211	LysR family transcriptional regulator		E2348C_4135
GJAO-4212	"permease, cytosine/purine, uracil, thiamine, allantoin family"		E2348C_4136
GJAO-4213	hypothetical protein		E2348C_4137
GJAO-4214	carbamate kinase	"allantoin degradation IV (anaerobic) // ""citrulline degradation"""	E2348C_4138
GJAO-4215	transposase of ISEc13		E2348C_4140
GJAO-4216	FdrA-like protein		E2348C_4141
GJAO-4217	hypothetical protein		E2348C_4142
GJAO-4218	cysteine hydrolases superfamily protein		E2348C_4143
GJAO-4260	DNA-binding transcriptional regulator		E2348C_4178
GJAO-4261	sugar kinase		E2348C_4179
GJAO-4262	oxidoreductase with NAD(P)-binding Rossmann-fold domain		E2348C_4180
GJAO-4263	aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_4181
GJAO-4264	dehydrogenase		E2348C_4182
GJAO-4265	transporter		E2348C_4183
GJAO-4266	shikimate transporter		E2348C_4184
GJAO-4272	lipase		E2348C_4190
GJAO-4273	hypothetical protein		E2348C_4191
GJAO-4274	hypothetical protein		E2348C_4192
GJAO-4281	heat shock protein (Hsp90-family)		E2348C_4199
GJAO-4282	hypothetical protein		E2348C_4200
GJAO-4287	glycoprotein		E2348C_4205
GJAO-4327	nucleoside-specific channel-forming protein Tsx		E2348C_4245
GJAO-4328	"5'-nucleotidase/2', 3'-cyclic phosphodiesterase"	"adenosine nucleotides degradation II // ""urate biosynthesis/inosine 5'-phosphate degradation"" // ""NAD salvage pathway II"" // ""purine nucleotides degradation II (aerobic)"" // ""guanosine nucleotides degradation III"""	E2348C_4246
GJAO-4329	5'-nucleotidase	"adenosine nucleotides degradation II // ""urate biosynthesis/inosine 5'-phosphate degradation"" // ""NAD salvage pathway II"" // ""purine nucleotides degradation II (aerobic)"" // ""guanosine nucleotides degradation III"""	E2348C_4247
GJAO-4330	hypothetical protein		E2348C_4248
GJAO-4331	"5'-nucleotidase/2', 3'-cyclic phosphodiesterase"	"adenosine nucleotides degradation II // ""urate biosynthesis/inosine 5'-phosphate degradation"" // ""NAD salvage pathway II"" // ""purine nucleotides degradation II (aerobic)"" // ""guanosine nucleotides degradation III"""	E2348C_4249
GJAO-4336	transposase Orf1 of IS1397		E2348C_4254
GJAO-4337	transposase of ISEc21		E2348C_4256
GJAO-4353	dehydratase		E2348C_4273
GJAO-4354	transporter		E2348C_4274
GJAO-4358	amino acid amidohydrolase		E2348C_4277
GJAO-4359	membrane transport/symporter protein		E2348C_4278
GJAO-4419	hypothetical protein		E2348C_4322
GJAO-4420	hypothetical protein		E2348C_4323
GJAO-4422	transposase Orf1 of IS1397		E2348C_4325
GJAO-4423	transposase of ISEc21		E2348C_4327
GJAO-4425	L-sorbose 1-phosphate dehydrogenase		E2348C_4330
GJAO-4426	sorbose-permease PTS system IID component		E2348C_4331
GJAO-4427	sorbose-permease PTS system IIC component		E2348C_4332
GJAO-4428	sorbose-permease PTS system IIB component		E2348C_4333
GJAO-4429	sorbose-permease PTS system IIA component		E2348C_4334
GJAO-4430	sorbitol-6-phosphate 2-dehydrogenase	D-sorbitol degradation II	E2348C_4335
GJAO-4431	sor-operon regulator		E2348C_4336
GJAO-4448	transposase of ISEc13		E2348C_4352
GJAO-4463	nicotinamide mononucleotide transporter		E2348C_4367
GJAO-4464	NadR-like protein		E2348C_4368
GJAO-4467	dihydrolipoyltranssuccinase		E2348C_4371
GJAO-4468	dihydrolipoamide dehydrogenase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""glycine cleavage"" // ""pyruvate decarboxylation to acetyl CoA"" // ""2-oxoglutarate decarboxylation to succinyl-CoA"""	E2348C_4372
GJAO-4469	"succinyl-CoA synthetase, beta subunit"	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle VI (obligate autotrophs)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle I (prokaryotic)"" // ""TCA cycle"""	E2348C_4373
GJAO-4470	succinyl-CoA synthetase subunit alpha	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle VI (obligate autotrophs)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle I (prokaryotic)"" // ""TCA cycle"""	E2348C_4374
GJAO-4471	di-and tricarboxylate transporter		E2348C_4375
GJAO-4472	dehydrogenase		E2348C_4376
GJAO-4473	response regulator in two-component system		E2348C_4377
GJAO-4474	sensory histidine kinase in two-component system		E2348C_4378
GJAO-4499	ABC transporter ATP-binding protein		E2348C_4402
GJAO-4500	ABC transporter ATP-binding protein		E2348C_4403
GJAO-4501	ABC transporter permease		E2348C_4404
GJAO-4502	ABC transporter permease		E2348C_4405
GJAO-4503	dipeptide ABC transporter periplasmic protein		E2348C_4406
GJAO-4628	hypothetical protein		E2348C_4527
GJAO-4629	hexuronate transporter		E2348C_4529
GJAO-4630	oxidoreductase		E2348C_4530
GJAO-4631	acetyl-CoA: acetoacetyl-CoA transferase		E2348C_4531
GJAO-4632	3-hydroxybutyryl-CoA dehydratase	"crotonate fermentation (to acetate and cyclohexane carboxylate) // ""acetyl-CoA fermentation to butyrate II"""	E2348C_4532
GJAO-4633	hypothetical protein		E2348C_4533
GJAO-4634	3-ketoacyl-ACP reductase	"<i>cis</i>-vaccenate biosynthesis // ""palmitate biosynthesis II (bacteria and plants)"" // ""stearate biosynthesis II (bacteria and plants)"" // ""fatty acid elongation -- saturated"""	E2348C_4534
GJAO-4689	hypothetical protein		E2348C_4589
GJAO-4690	hypothetical protein		E2348C_4590
GJAO-4691	serine site-specific recombinase		E2348C_4591
GJAO-4692	hypothetical protein		E2348C_4592
GJAO-4693	ATP-dependent DNA helicase (N-terminus)		E2348C_4593
GJAO-4694	hypothetical protein		E2348C_4594
GJAO-4695	hypothetical protein		E2348C_4595
GJAO-4696	hypothetical protein		E2348C_4596
GJAO-4697	hypothetical protein		E2348C_4597
GJAO-4698	hypothetical protein		E2348C_4598
GJAO-4699	hypothetical protein		E2348C_4599
GJAO-4700	hypothetical protein		E2348C_4600
GJAO-4701	capsid protein		E2348C_4601
GJAO-4702	"endonuclease, HNH family"		E2348C_4602
GJAO-4703	hypothetical protein		E2348C_4603
GJAO-4704	hypothetical protein		E2348C_4604
GJAO-4705	hypothetical protein		E2348C_4605
GJAO-4706	hypothetical protein		E2348C_4606
GJAO-4707	integrase		E2348C_4607
GJAO-4708	type I restriction-modification enzyme R subunit		E2348C_4608
GJAO-4709	type I restriction-modification enzyme S subunit		E2348C_4609
GJAO-4710	type I restriction-modification enzyme M subunit		E2348C_4610
GJAO-4711	hypothetical protein		E2348C_4611
GJAO-4712	"McrB family protein, GTPase subunit of restriction endonuclease"		E2348C_4612
GJAO-4713	"McrC family protein, McrBC 5-methylcytosine restriction system component"		E2348C_4613
GJAO-4714	restriction endonuclease		E2348C_4614
GJAO-4739	hypothetical protein		E2348C_4640
GJAO-4746	helicase		E2348C_4647
GJAO-4751	"TRAP-type C4-dicarboxylate transport system, large permease component"		E2348C_4652
GJAO-4752	"TRAP-type C4-dicarboxylate transport system, small permease component"		E2348C_4653
GJAO-4753	Na+/H+ and K+/H+ transporter		E2348C_4655
GJAO-4784	hypothetical protein		E2348C_4683
GJAO-4790	hypothetical protein		E2348C_4689
GJAO-4791	regulatory protein		E2348C_4690
GJAO-76	GJAO-76-RNA		E2348C_ncR02
GJAO-1313	"sRNA, function unknown"		E2348C_ncR13
GJAO-1548	"sRNA, function unknown"		E2348C_ncR17
GJAO-1646	GJAO-1646-RNA		E2348C_ncR20
GJAO-1958	GJAO-1958-RNA		E2348C_ncR24
GJAO-2026	"sRNA, function unknown"		E2348C_ncR27
GJAO-2153	GJAO-2153-RNA		E2348C_ncR31
GJAO-2276	GJAO-2276-RNA		E2348C_ncR34
GJAO-2794	GJAO-2794-RNA		E2348C_ncR36
GJAO-3298	"sRNA, function unknown"		E2348C_ncR51
GJAO-3385	GJAO-3385-RNA		E2348C_ncR52
GJAO-3497	GJAO-3497-RNA		E2348C_ncR57
GJAO-3622	GJAO-3622-RNA		E2348C_ncR59
GJAO-3954	GJAO-3954-RNA		E2348C_ncR64
GJAO-4363	GJAO-4363-RNA		E2348C_ncR69
GJAO-4384	"sRNA, function unknown"		E2348C_ncR70
GJAO-4393	GJAO-4393-RNA		E2348C_ncR71
GJAO-4435	GJAO-4435-RNA		E2348C_ncR72
GJAO-4822	transposase Orf2 of ISEc17		E2348_P1_018
GJAO-4823	transposase Orf1 of ISEc17		E2348_P1_019
GJAO-4827	hypothetical protein		E2348_P1_033
GJAO-4828	hypothetical protein		E2348_P1_034
GJAO-4833	transposase of ISEc13		E2348_P1_038
GJAO-4835	hypothetical protein		E2348_P1_040
GJAO-4874	lytic transglycosylase		E2348_P1_077
GJAO-4875	hypothetical protein		E2348_P1_078
GJAO-4876	transposase of ISEc13		E2348_P1_081
GJAO-4877	hypothetical protein		E2348_P1_083
GJAO-4878	hypothetical protein		E2348_P1_084
GJAO-4879	conserved predicted protein		E2348_P1_085
GJAO-4880	hypothetical protein		E2348_P1_086
GJAO-4881	hypothetical protein		E2348_P1_087
GJAO-4882	transposase of IS30		E2348_P1_090
GJAO-4883	transposase of ISEc13 of IS110 family		E2348_P1_092
GJAO-4884	putative glutamate:gamma-aminobutyrate antiporter		E2348_P1_096
GJAO-4885	putative glutamate racemase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348_P1_097
GJAO-4886	transposase Orf1 of IS1N		E2348_P1_098
GJAO-4887	transposase Orf2 of IS1N		E2348_P1_099
GJAO-4891	"ParA-like protein, putative partitioning protein"		E2348_P1_103
GJAO-4892	hypothetical protein		E2348_P1_104
GJAO-4896	hypothetical protein		E2348_P1_108
GJAO-4897	"VagC-like protein, putative plasmid maintenance protein"		E2348_P1_109
GJAO-4898	"VagD-like protein, putative plasmid maintenance protein"		E2348_P1_110
GJAO-4899	hypothetical protein		E2348_P1_111
GJAO-4900	hypothetical protein		E2348_P1_112
GJAO-4830	"antisesce sRNA, regulates copy number through inhibition of replication inhibitor protein synthesis"		E2348_P1_mR_1
GJAO-4872	"cis acting RNA element, regulates the transfer of F-like plasmid"		E2348_P1_mR_3
GJAO-4904	hypothetical protein		E2348_P2_04
GJAO-4905	hypothetical protein		E2348_P2_05
GJAO-4906	entry exclusion protein 1		E2348_P2_06
GJAO-4907	hypothetical protein		E2348_P2_07
GJAO-4908	hypothetical protein		E2348_P2_08
GJAO-4909	probable plasmid replication initiation protein		E2348_P2_09
GJAO-4910	"antisense RNA, antisense repressor of the replication of plasmid"		E2348_P2_mR_1
eaeA	intimin EaeA		E2348C_3939
eamA	O-acetylserine/cysteine export protein		E2348C_1653
ebgA	cryptic beta-D-galactosidase subunit alpha		E2348C_3369
ebgC	cryptic beta-D-galactosidase subunit beta		E2348C_3370
ebgR	DNA-binding transcriptional repressor EbgR		E2348C_3368
ecnA	entericidin A		E2348C_4474
ecnB	entericidin B		E2348C_4475
eco	ecotin		E2348C_2354
ecpA	fimbrillin precursor		E2348C_0249
ecpB	chaperone		E2348C_0248
ecpC	outer membrane usher protein		E2348C_0247
ecpD	hypothetical protein		E2348C_0246
ecpE	chaperone		E2348C_0245
ecpR	regulator		E2348C_0250
eda	keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase	"superpathway of glycolysis and Entner-Doudoroff // ""superpathway of &beta;-D-glucuronide and D-glucuronate degradation"" // ""Entner-Doudoroff pathway I"" // ""5-dehydro-4-deoxy-D-glucuronate degradation"" // ""D-fructuronate degradation"""	E2348C_1975
edd	phosphogluconate dehydratase	"superpathway of glycolysis and Entner-Doudoroff // ""Entner-Doudoroff pathway I"""	E2348C_1976
efeU	high-affinity Fe2+/Pb2+ permease		E2348C_1067
efp	elongation factor P		E2348C_4473
elaA	hypothetical protein		E2348C_2412
elaB	hypothetical protein		E2348C_2411
elbB	isoprenoid biosynthesis protein with amidotransferase-like domain		E2348C_3488
emrA	multidrug efflux system		E2348C_2949
emrB	multidrug efflux system protein		E2348C_2950
emrD	multidrug resistance protein D		E2348C_3988
emrK	"EmrKY-TolC multidrug resistance efflux pump protein K, membrane fusion protein component"		E2348C_2561
emrY	multidrug efflux system		E2348C_2560
emtA	lytic murein endotransglycosylase E		E2348C_1312
endA	DNA-specific endonuclease I		E2348C_3198
engA	GTP-binding protein EngA		E2348C_2794
engB	ribosome biogenesis GTP-binding protein YsxC		E2348C_4171
eno	phosphopyruvate hydratase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""respiration (anaerobic)"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycerol degradation to butanol"" // ""glycolysis VI (metazoan)"" // ""formaldehyde assimilation I (serine pathway)"" // ""superpathway of glucose and xylose degradation"""	E2348C_3046
entA	"2,3-dihydroxybenzoate-2,3-dehydrogenase"	"superpathway of chorismate metabolism // ""enterobactin biosynthesis"" // ""2,3-dihydroxybenzoate biosynthesis"""	E2348C_0498
entB	isochorismatase	"superpathway of chorismate metabolism // ""enterobactin biosynthesis"" // ""2,3-dihydroxybenzoate biosynthesis"""	E2348C_0497
entC	isochorismate synthase 1	"superpathway of chorismate metabolism // ""enterobactin biosynthesis"" // ""superpathway of menaquinol-8 biosynthesis I"" // ""superpathway of demethylmenaquinol-8 biosynthesis"" // ""2,3-dihydroxybenzoate biosynthesis"" // ""1,4-dihydroxy-2-naphthoate biosynthesis I"""	E2348C_0495
entD	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex		E2348C_0484
entE	enterobactin synthase subunit E	"superpathway of chorismate metabolism // ""enterobactin biosynthesis"""	E2348C_0496
entF	enterobactin synthase subunit F	"superpathway of chorismate metabolism // ""enterobactin biosynthesis"""	E2348C_0488
entS	enterobactin exporter EntS		E2348C_0493
envC	hypothetical protein		E2348C_3862
envR	DNA-binding transcriptional regulator EnvR		E2348C_3534
envZ	osmolarity sensor protein		E2348C_3649
epd	erythrose 4-phosphate dehydrogenase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"""	E2348C_3174
eptA	cell division protein		E2348C_4442
eptB	phosphoethanolamine transferase		E2348C_3793
era	GTP-binding protein Era		E2348C_2843
erfK	hypothetical protein		E2348C_2123
escC	T3SS structure protein EscC		E2348C_3955
escD	T3SS structure protein EscD		E2348C_3938
escF	T3SS structure protein EscF		E2348C_3932
escJ	T3SS structure protein EscJ		E2348C_3953
escN	translocator EscN		E2348C_3948
escR	type III secretion system protein		E2348C_3963
escS	T3SS structure protein EscS		E2348C_3962
escT	T3SS structure protein EscT		E2348C_3961
escU	secretion system apparatus protein SsaU		E2348C_3960
escV	translocator EscV		E2348C_3949
espA	translocon EspA		E2348C_3936
espB	translocon EspB		E2348C_3934
espC	serine protease		E2348C_2915
espD	translocon EspD		E2348C_3935
espF	LEE-encoded effector EspF		E2348C_3930
espG	LEE-encoded effector EspG		E2348C_3970
espH	LEE-encoded effector EspH		E2348C_3944
espZ	LEE-encoded effector EspZ		E2348C_3951
etk	cryptic autophosphorylating protein tyrosine kinase Etk		E2348C_0966
etp	phosphotyrosine-protein phosphatase		E2348C_0967
eutB	"ethanolamine ammonia-lyase, large subunit, heavychain"	ethanolamine utilization	E2348C_2683
eutD	phosphotransacetylase	"superpathway of acetate utilization and formation // ""acetyl-CoA fermentation to butyrate II"" // ""pyruvate fermentation to acetate IV"" // ""pyruvate fermentation to acetate and lactate I"" // ""mixed acid fermentation"" // ""acetate formation from acetyl-CoA I"" // ""pyruvate fermentation to acetate II"""	E2348C_2692
eutE	aldehyde dehydrogenase	"superpathway of purine deoxyribonucleosides degradation // ""superpathway of pyrimidine deoxyribonucleosides degradation"" // ""mixed acid fermentation"" // ""threonine degradation IV"" // ""pyruvate fermentation to ethanol I"" // ""2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"" // ""ethanol degradation I"" // ""superpathway of fucose and rhamnose degradation"" // ""L-lactaldehyde degradation (aerobic)"" // ""ethanol degradation IV"" // ""ethanol degradation II"" // ""arginine degradation II (AST pathway)"""	E2348C_2689
eutG	alcohol dehydrogenase in ethanolamineutilization		E2348C_2687
eutH	predicter inner membrane protein		E2348C_2686
eutJ	"chaperonin, ethanolamine utilization protein EutJ"		E2348C_2688
eutK	carboxysome structural protein with role in ethanolamine utilization		E2348C_2626
eutL	carboxysome structural protein with role in ethanolamine utilization		E2348C_2627
eutM	"carboxysome structural protein, ethanolamine utilization protein"		E2348C_2691
eutN	"carboxysome structural protein, ethanolamine utilization protein"		E2348C_2690
eutP	hypothetical protein		E2348C_2695
eutQ	hypothetical protein		E2348C_2694
eutR	transcriptional regulator EutR		E2348C_2625
eutS	carboxysome structural protein with role in ethanol utilization		E2348C_2696
eutT	cobalamin adenosyltransferase in ethanolamine utilization		E2348C_2693
evgA	DNA-binding transcriptional activator EvgA		E2348C_2562
evgS	hybrid sensory histidine kinase in two-component regulatory system with EvgA		E2348C_2563
exbB	biopolymer transport protein ExbB		E2348C_3293
exbD	biopolymer transport protein ExbD		E2348C_3292
exoX	exodeoxyribonuclease X		E2348C_1969
exuR	DNA-binding transcriptional repressor ExuR		E2348C_3387
exuT	hexuronate transporter		E2348C_3386
fabA	3-hydroxydecanoyl-ACP dehydratase	"palmitate biosynthesis II (bacteria and plants) // ""<i>cis</i>-dodecenoyl biosynthesis"""	E2348C_0940
fabB	3-oxoacyl-ACP synthase	"palmitate biosynthesis II (bacteria and plants) // ""<i>cis</i>-dodecenoyl biosynthesis"" // ""fatty acid biosynthesis initiation I"" // ""fatty acid elongation -- saturated"""	E2348C_2463
fabD	malonyl-CoA-[acyl-carrier-protein] transacylase	fatty acid biosynthesis initiation I	E2348C_1184
fabF	3-oxoacyl-ACP synthase	"<i>cis</i>-vaccenate biosynthesis // ""<i>cis</i>-dodecenoyl biosynthesis"" // ""fatty acid biosynthesis initiation I"" // ""fatty acid elongation -- saturated"""	E2348C_1187
fabG	3-ketoacyl-ACP reductase	"<i>cis</i>-dodecenoyl biosynthesis // ""<i>cis</i>-vaccenate biosynthesis"" // ""palmitate biosynthesis II (bacteria and plants)"" // ""stearate biosynthesis II (bacteria and plants)"" // ""fatty acid elongation -- saturated"""	E2348C_1185
fabH	3-oxoacyl-ACP synthase	"<i>cis</i>-dodecenoyl biosynthesis // ""fatty acid biosynthesis initiation I"" // ""fatty acid elongation -- saturated"""	E2348C_1183
fabI	enoyl-ACP reductase	"triclosan resistance // ""fatty acid elongation -- saturated"" // ""<i>cis</i>-vaccenate biosynthesis"" // ""<i>cis</i>-dodecenoyl biosynthesis"" // ""stearate biosynthesis II (bacteria and plants)"" // ""palmitate biosynthesis II (bacteria and plants)"""	E2348C_1482
fabR	DNA-binding transcriptional repressor FabR		E2348C_4279
fabZ	(3R)-hydroxymyristoyl-ACP dehydratase	"<i>cis</i>-vaccenate biosynthesis // ""stearate biosynthesis II (bacteria and plants)"" // ""fatty acid elongation -- saturated"" // ""<i>cis</i>-dodecenoyl biosynthesis"" // ""palmitate biosynthesis II (bacteria and plants)"""	E2348C_0185
fadA	3-ketoacyl-CoA thiolase	fatty acid &beta;-oxidation I	E2348C_4157
fadB	multifunctional fatty acid oxidation complex subunit alpha		E2348C_4158
fadD	long-chain-fatty-acid--CoA ligase	"fatty acid &beta;-oxidation I // ""fatty acid activation"""	E2348C_1928
fadE	acyl-CoA dehydrogenase	fatty acid &beta;-oxidation I	E2348C_0218
fadH	"2,4-dienoyl-CoA reductase"		E2348C_3374
fadI	3-ketoacyl-CoA thiolase	fatty acid &beta;-oxidation I	E2348C_2481
fadJ	multifunctional fatty acid oxidation complex subunit alpha	"crotonate fermentation (to acetate and cyclohexane carboxylate) // ""fatty acid &beta;-oxidation I"""	E2348C_2480
fadK	short chain acyl-CoA synthetase	"fatty acid &beta;-oxidation I // ""fatty acid activation"" // ""2-methylcitrate cycle II"" // ""2-methylcitrate cycle I"""	E2348C_1786
fadL	long-chain fatty acid outer membrane transporter		E2348C_2483
fadR	fatty acid metabolism regulator		E2348C_1306
fbaA	fructose-bisphosphate aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_3172
fbaB	fructose-bisphosphate aldolase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_2242
fbp	"fructose-1,6-bisphosphatase"	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""sucrose biosynthesis I (from photosynthesis)"""	E2348C_4558
fcl	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/GDP-4-dehydro-6-L-deoxygalactose reductase		E2348C_2194
fdhD	formate dehydrogenase accessory protein		E2348C_4198
fdhE	formate dehydrogenase accessory protein FdhE		E2348C_4194
fdhF	"formate dehydrogenase-H, selenopolypeptide subunit"	hydrogen production V	E2348C_4407
fdnG	formate dehydrogenase-N alpha subunit	"formate to dimethyl sulfoxide electron transfer // ""formate to trimethylamine <i>N</i>-oxide electron transfer"" // ""nitrate reduction III (dissimilatory)"""	E2348C_1608
fdnH	"formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible"		E2348C_1609
fdnI	formate dehydrogenase-N subunit gamma	"formate to dimethyl sulfoxide electron transfer // ""formate to trimethylamine <i>N</i>-oxide electron transfer"" // ""nitrate reduction III (dissimilatory)"""	E2348C_1610
fdoG	"formate dehydrogenase-O, large subunit"	"formate to dimethyl sulfoxide electron transfer // ""formate to trimethylamine <i>N</i>-oxide electron transfer"" // ""nitrate reduction III (dissimilatory)"""	E2348C_4197
fdoH	"formate dehydrogenase-O, Fe-S subunit FdoH"		E2348C_4196
fdoI	formate dehydrogenase-O subunit gamma	"formate to dimethyl sulfoxide electron transfer // ""formate to trimethylamine <i>N</i>-oxide electron transfer"" // ""nitrate reduction III (dissimilatory)"""	E2348C_4195
fdrA	membrane protein FdrA		E2348C_0451
fdx	[2Fe-2S] ferredoxin		E2348C_2808
feoA	ferrous iron transport protein A		E2348C_3653
feoB	ferrous iron transport protein B		E2348C_3654
feoC	DNA-binding transcriptional regulator		E2348C_3655
fepA	outer membrane receptor FepA		E2348C_0485
fepB	iron-enterobactin transporter periplasmic binding protein		E2348C_0494
fepC	iron-enterobactin transporter ATP-binding protein		E2348C_0490
fepD	iron-enterobactin transporter membrane protein		E2348C_0492
fepG	iron-enterobactin transporter permease		E2348C_0491
fes	enterobactin/ferric enterobactin esterase		E2348C_0486
ffh	signal recognition particle protein		E2348C_2899
ffs	4.5S sRNA component of signal recognition particle (SRP); works with the Ffh protein; involved in co-translational protein translocation into and possibly through membranes		E2348C_ncR05
fhlA	DNA-binding transcriptional activator		E2348C_2996
fhuA	ferrichrome outer membrane transporter		E2348C_0157
fhuB	iron-hydroxamate transporter permease subunit		E2348C_0160
fhuC	iron-hydroxamate transporter ATP-binding subunit		E2348C_0158
fhuD	iron-hydroxamate transporter substrate-binding subunit		E2348C_0159
fhuE	ferric-rhodotorulic acid outer membrane transporter		E2348C_1194
fhuF	ferric hydroximate transport ferric iron reductase		E2348C_4666
fic	cell filamentation protein Fic		E2348C_3611
fieF	ferrous iron efflux protein F		E2348C_4219
fimA	major type 1 subunit fimbrin (pilin)		E2348C_4621
fimB	tyrosine recombinase		E2348C_4619
fimC	"chaperone, periplasmic"		E2348C_4623
fimD	"outer membrane usher protein, type 1 fimbrial synthesis"		E2348C_4624
fimE	tyrosine recombinase		E2348C_4620
fimF	minor component of type 1 fimbriae		E2348C_4625
